,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,concept:name_acc,impact_acc,lifecycle:transition_acc,org:group_acc,org:resource_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,lr,batch_size,aggregation,hid,layers
21,21,21_0,COMPLETED,BO_MIXED,17.232282153144478,0.6119122505187988,0.7103448510169983,0.9824451804161072,0.6231974959373474,0.9510971903800964,0.2445141077041626,0.8332288265228271,0.9611285328865051,0.4877743124961853,0.6081504821777344,0.8463950157165527,0.1574495404958725,0.02859705732961121,16,max,128,2
8,8,8_0,COMPLETED,BO_MIXED,17.6155631929636,0.6131661534309387,0.7141066193580627,0.9824451804161072,0.6119122505187988,0.9347962737083435,0.28338557481765747,0.836363673210144,0.9611285328865051,0.5567398071289062,0.6376175880432129,0.8476489186286926,0.12873504012823106,0.02523347620496206,16,max,128,2
17,17,17_0,COMPLETED,BO_MIXED,17.682217401638628,0.5918495655059814,0.7141066193580627,0.9824451804161072,0.6294670701026917,0.9247649312019348,0.3028213083744049,0.8288401365280151,0.9768025279045105,0.5078369975090027,0.565517246723175,0.8338558077812195,0.10233617424964905,0.02696210886438997,16,mean,128,2
13,13,13_0,COMPLETED,BO_MIXED,17.832387080043553,0.5661442279815674,0.7128526568412781,0.9824451804161072,0.5949843525886536,0.9454545378684998,0.2608150541782379,0.8470219373703003,0.9598746299743652,0.4670846462249756,0.6062695980072021,0.8708463907241821,0.4050043702125549,0.027023608645634224,16,max,128,2
26,26,26_0,COMPLETED,BO_MIXED,18.132862505316734,0.6119122505187988,0.7109717726707458,0.9824451804161072,0.5956112742424011,0.9479624032974243,0.21504703164100647,0.8539184927940369,0.9793103337287903,0.4689655303955078,0.5956112742424011,0.8683385848999023,0.4395060658454895,0.02453655891841087,16,max,128,2
22,22,22_0,COMPLETED,BO_MIXED,18.163017807155846,0.5692790150642395,0.6890282034873962,0.9824451804161072,0.5805642604827881,0.9410658478736877,0.2589341700077057,0.8231974840164185,0.9793103337287903,0.48275864124298096,0.5423197746276855,0.8489028215408325,0.6301104903221131,0.029850434747375493,16,max,128,2
25,25,25_0,COMPLETED,BO_MIXED,18.271204884722827,0.6601880788803101,0.7648903131484985,0.9824451804161072,0.6927899718284607,0.9498432874679565,0.23510971665382385,0.7974921464920044,0.9630094170570374,0.42884013056755066,0.4526645839214325,0.8589341640472412,0.08854625821113586,0.02401136430332923,16,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,18.392095291242004,0.6012539267539978,0.7141066193580627,0.9824451804161072,0.6131661534309387,0.9335423111915588,0.3072100281715393,0.8539184927940369,0.9611285328865051,0.5235109925270081,0.6520376205444336,0.8583072423934937,0.5160232782363892,0.023551438859016186,16,max,128,2
24,24,24_0,COMPLETED,BO_MIXED,18.481676030531524,0.625705361366272,0.6971787214279175,0.9824451804161072,0.6100313663482666,0.9442006349563599,0.27272728085517883,0.8250783681869507,0.9611285328865051,0.5498432517051697,0.6357367038726807,0.8683385848999023,0.5441818594932556,0.027814814899874304,16,max,128,2
28,28,28_0,COMPLETED,BO_MIXED,18.53090314157307,0.5987460613250732,0.6382445096969604,0.9824451804161072,0.5912225842475891,0.9404388666152954,0.29780563712120056,0.8495298027992249,0.9780564308166504,0.5078369975090027,0.60313481092453,0.8589341640472412,0.26615233421325685,0.026081792216339935,16,mean,128,2
19,19,19_0,COMPLETED,BO_MIXED,18.56970639359206,0.5993730425834656,0.6890282034873962,0.9824451804161072,0.613793134689331,0.9410658478736877,0.2564263343811035,0.836363673210144,0.9529780745506287,0.5028213262557983,0.5097178816795349,0.8639498353004456,1.2722539186477662,0.028700587925987446,16,mean,128,2
23,23,23_0,COMPLETED,BO_MIXED,18.622563147172333,0.5648902654647827,0.6394984126091003,0.9824451804161072,0.6106582880020142,0.9285266399383545,0.2840125560760498,0.8194357752799988,0.9611285328865051,0.5479623675346375,0.6376175880432129,0.8576802611351013,0.5622705221176147,0.026125248681943495,16,max,128,2
27,27,27_0,COMPLETED,BO_MIXED,18.82280771005899,0.6739811897277832,0.7686520218849182,0.980564296245575,0.655799388885498,0.9341692924499512,0.2300940454006195,0.8144200444221497,0.9711598753929138,0.42319750785827637,0.4821316599845886,0.8520376086235046,0.34764991998672484,0.025956053015564667,16,sum,128,2
20,20,20_0,COMPLETED,BO_MIXED,18.832121662795544,0.6006269454956055,0.7147335410118103,0.9824451804161072,0.625705361366272,0.9423197507858276,0.2551724314689636,0.8169279098510742,0.9699059724807739,0.42006269097328186,0.5216301083564758,0.8652037978172302,0.22066610753536225,0.025020664220722716,16,mean,128,2
7,7,7_0,COMPLETED,BO_MIXED,18.98752672113478,0.5912225842475891,0.751724123954773,0.9824451804161072,0.6802507638931274,0.9504702091217041,0.1774294674396515,0.7931034564971924,0.9611285328865051,0.43009406328201294,0.497805655002594,0.8576802611351013,0.30105658769607546,0.027985559925408313,16,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,19.463479879125952,0.5623824596405029,0.6990595459938049,0.9824451804161072,0.5699059367179871,0.947335422039032,0.2940438985824585,0.842006266117096,0.9598746299743652,0.5134796500205994,0.6501567363739014,0.8645768165588379,0.3096703588962555,0.04285620370516282,64,max,128,2
11,11,11_0,COMPLETED,BO_MIXED,20.163618544861674,0.5749216079711914,0.5905956029891968,0.9824451804161072,0.5849530100822449,0.9241379499435425,0.12727272510528564,0.783699095249176,0.9705329537391663,0.2896551787853241,0.46645769476890564,0.8401253819465637,0.24214341044425963,0.09706331248163472,64,max,128,2
18,18,18_0,COMPLETED,BO_MIXED,20.281612095609308,0.4501567482948303,0.7172414064407349,0.9818181991577148,0.6921629905700684,0.9266457557678223,0.2068965584039688,0.7931034564971924,0.9517241716384888,0.3347962498664856,0.5517241358757019,0.8551723957061768,0.5262856602668762,0.06062176141425509,64,sum,128,2
1,1,1_0,COMPLETED,Sobol,20.88360507134348,0.6670846343040466,0.7768025398254395,0.9824451804161072,0.6965517401695251,0.9467085003852844,0.1398119181394577,0.8037617802619934,0.947335422039032,0.39373040199279785,0.4087774455547333,0.8413793444633484,0.28912028670310974,0.042124781905866535,16,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,21.628789116442203,0.5736677050590515,0.6501567363739014,0.9793103337287903,0.5755485892295837,0.9416928291320801,0.12789969146251678,0.7605015635490417,0.9354231953620911,0.2733542323112488,0.3987460732460022,0.848275899887085,0.807578182220459,0.02482535126701701,64,max,128,2
5,5,5_0,COMPLETED,Sobol,21.64550381153822,0.5918495655059814,0.6921629905700684,0.9736677408218384,0.6363636255264282,0.920376181602478,0.12852664291858673,0.7912225723266602,0.9354231953620911,0.27460816502571106,0.3492163121700287,0.8545454740524292,1.2773874282836915,0.013215494743445832,16,mean,128,2
15,15,15_0,COMPLETED,BO_MIXED,23.13236115090549,0.592476487159729,0.7166144251823425,0.9793103337287903,0.6206896901130676,0.9184952974319458,0.013793103396892548,0.7655172348022461,0.9316614270210266,0.09905955940485,0.2996865212917328,0.8614420294761658,0.3671427845954895,0.0029470382754414764,16,max,128,2
16,16,16_0,COMPLETED,BO_MIXED,23.91533379107714,0.5931034684181213,0.7184953093528748,0.9824451804161072,0.6275861859321594,0.9272727370262146,0.1573667675256729,0.7905956506729126,0.9272727370262146,0.30094045400619507,0.38181817531585693,0.8551723957061768,0.09385170936584472,0.0008145851270895093,64,max,128,2
3,3,3_0,COMPLETED,Sobol,24.02698451243341,0.6037617921829224,0.7159874439239502,0.9824451804161072,0.619435727596283,0.9090909361839294,0.07523511350154877,0.762382447719574,0.931034505367279,0.19310344755649567,0.32100313901901245,0.8564263582229614,0.05817161276936531,0.0007632231810882134,16,max,128,2
4,4,4_0,COMPLETED,Sobol,24.933854585886003,0.6858934164047241,0.7561128735542297,0.9824451804161072,0.6526646018028259,0.9247649312019348,0.20438872277736664,0.8206896781921387,0.9711598753929138,0.41880878806114197,0.524764895439148,0.8351097106933594,0.9364742636680603,0.0028437033255790875,64,sum,128,2
29,29,29_0,COMPLETED,BO_MIXED,25.262146485224367,0.592476487159729,0.7003135085105896,0.9824451804161072,0.6056426167488098,0.9247649312019348,0.0946708470582962,0.8018808960914612,0.931034505367279,0.21504703164100647,0.32225707173347473,0.852664589881897,0.1741062045097351,0.0003043263603366152,16,max,128,2
2,2,2_0,COMPLETED,Sobol,25.35790873542428,0.5993730425834656,0.6921629905700684,0.9711598753929138,0.6332288384437561,0.9297806024551392,0.036363635212183,0.739811897277832,0.9266457557678223,0.07899686694145203,0.290909081697464,0.8401253819465637,0.10945996940135956,0.0034984596226199345,64,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,26.437362444400787,0.6106582880020142,0.7178683280944824,0.9824451804161072,0.6445141434669495,0.9448276162147522,0.13855800032615662,0.8125392198562622,0.9391849637031555,0.3103448450565338,0.40125393867492676,0.8576802611351013,0.0446955181658268,0.0001,16,max,128,2
0,0,0_0,COMPLETED,Sobol,27.028907331824303,0.6018809080123901,0.672100305557251,0.9636363983154297,0.6163009405136108,0.8915360569953918,0.018808778375387192,0.6639498472213745,0.9153605103492737,0.040125392377376556,0.03949843347072601,0.8225705623626709,0.0267315149307251,0.0001865322718407359,64,mean,128,2
6,6,6_0,COMPLETED,BO_MIXED,27.41634397730231,0.67836993932724,0.7874608039855957,0.9667711853981018,0.6708464026451111,0.9015673995018005,0.0050156740471720695,0.5097178816795349,0.8689655065536499,0.03134796395897865,0.20501567423343658,0.7968652248382568,0.4484801471233368,0.0999999999999999,16,sum,128,2
